Actual,Predictions

ship,ship
ship,ship
airplane,airplane
frog,frog
frog,frog
automobile,automobile
frog,frog
cat,cat
automobile,truck
airplane,airplane
truck,truck
dog,cat
horse,horse
truck,truck
ship,ship
dog,dog
horse,horse
ship,ship
frog,frog
horse,horse
airplane,airplane
deer,deer
truck,truck
dog,deer
bird,bird
deer,frog
airplane,airplane
truck,truck
frog,frog
frog,frog
dog,dog
deer,deer
dog,dog
truck,truck
bird,cat
deer,horse
automobile,automobile
truck,truck
dog,dog
deer,airplane
frog,frog
dog,cat
frog,frog
airplane,airplane
truck,truck
cat,frog
truck,airplane
horse,horse
frog,bird
truck,truck
ship,ship
airplane,horse
cat,cat
ship,ship
ship,ship
horse,horse
horse,horse
deer,cat
frog,frog
horse,horse
cat,dog
frog,frog
cat,cat
frog,frog
bird,bird
automobile,automobile
bird,bird
cat,horse
horse,horse
bird,cat
frog,frog
ship,ship
ship,ship
airplane,airplane
bird,bird
truck,truck
cat,cat
cat,dog
ship,ship
ship,ship
automobile,automobile
automobile,automobile
horse,horse
bird,bird
dog,horse
bird,bird
horse,horse
ship,ship
truck,truck
airplane,airplane
cat,frog
ship,ship
frog,frog
deer,deer
frog,frog
frog,frog
airplane,airplane
airplane,airplane
horse,horse
deer,deer
dog,dog
frog,frog
cat,cat
automobile,automobile
automobile,automobile
cat,cat
frog,frog
ship,ship
horse,horse
deer,deer
airplane,airplane
frog,frog
bird,bird
automobile,automobile
cat,cat
airplane,airplane
deer,deer
bird,frog
horse,horse
ship,ship
cat,horse
automobile,automobile
bird,bird
ship,ship
airplane,airplane
ship,cat
cat,cat
dog,cat
bird,cat
deer,deer
automobile,automobile
ship,ship
truck,truck
automobile,automobile
bird,bird
truck,truck
horse,horse
bird,bird
truck,ship
frog,frog
dog,dog
frog,frog
cat,dog
ship,ship
horse,bird
frog,frog
bird,dog
dog,dog
bird,cat
ship,ship
truck,truck
frog,frog
airplane,airplane
airplane,airplane
dog,cat
bird,frog
truck,truck
dog,cat
deer,deer
bird,airplane
automobile,automobile
frog,frog
frog,frog
ship,ship
deer,horse
ship,ship
deer,deer
dog,horse
airplane,ship
truck,truck
truck,truck
truck,truck
ship,ship
truck,truck
truck,truck
cat,cat
horse,horse
dog,dog
airplane,airplane
airplane,airplane
dog,dog
bird,airplane
bird,bird
cat,cat
ship,ship
frog,frog
cat,cat
deer,cat
airplane,airplane
dog,horse
ship,ship
airplane,airplane
automobile,automobile
horse,horse
bird,bird
ship,ship
ship,ship
horse,cat
ship,ship
dog,dog
automobile,automobile
ship,ship
horse,horse
automobile,automobile
cat,cat
airplane,ship
dog,dog
horse,horse
truck,truck
horse,horse
deer,truck
dog,dog
truck,truck
ship,ship
airplane,airplane
horse,horse
truck,truck
ship,ship
bird,bird
horse,horse
frog,cat
truck,truck
deer,deer
cat,deer
truck,truck
frog,frog
deer,bird
horse,cat
frog,cat
dog,dog
automobile,automobile
dog,cat
ship,ship
ship,ship
airplane,airplane
deer,deer
airplane,deer
dog,cat
dog,dog
automobile,automobile
automobile,automobile
ship,ship
truck,truck
airplane,airplane
cat,bird
automobile,automobile
truck,ship
bird,bird
bird,bird
dog,dog
cat,cat
truck,truck
truck,truck
deer,deer
airplane,airplane
cat,frog
airplane,airplane
airplane,ship
truck,truck
ship,ship
automobile,automobile
dog,cat
horse,cat
airplane,ship
ship,ship
bird,bird
deer,deer
horse,horse
airplane,bird
bird,bird
cat,dog
frog,frog
cat,dog
ship,ship
dog,bird
airplane,airplane
cat,bird
deer,deer
cat,cat
truck,truck
airplane,airplane
frog,frog
automobile,automobile
airplane,truck
truck,truck
automobile,automobile
airplane,ship
horse,horse
truck,truck
automobile,automobile
bird,bird
frog,frog
truck,truck
cat,dog
deer,bird
frog,frog
airplane,airplane
airplane,airplane
frog,frog
frog,frog
frog,frog
cat,bird
bird,bird
frog,frog
automobile,automobile
ship,truck
bird,bird
automobile,truck
frog,deer
ship,ship
frog,frog
ship,airplane
airplane,bird
deer,deer
airplane,airplane
horse,horse
horse,horse
dog,dog
dog,dog
cat,cat
dog,dog
bird,bird
cat,cat
deer,horse
automobile,horse
horse,horse
dog,dog
deer,deer
frog,frog
automobile,automobile
truck,truck
cat,frog
frog,frog
frog,frog
truck,truck
cat,cat
ship,ship
airplane,airplane
horse,horse
bird,bird
frog,frog
bird,bird
dog,automobile
ship,ship
dog,dog
deer,deer
frog,frog
ship,ship
truck,truck
truck,truck
automobile,automobile
airplane,ship
bird,bird
bird,cat
horse,deer
cat,bird
bird,bird
ship,ship
airplane,airplane
truck,truck
dog,dog
ship,ship
